ID,FECHA,HORA,TITULO,PRODUCTORA,BAR,VALOR,VENDER,CAPACIDAD,FLYER,CALENDARIO,DISPONIBLES,VENDIDAS,
85,14/03/2025,21:00,Talisman en ruta,,si,8000,no,50,https://drive.google.com/thumbnail?id=12eF9TgroHR2scdaWPhjyAUXC5fl-gXZ4,,#N/A,#N/A,#N/A
86,2025-03-22,21:30,Tiempo de Cumplir,,no,10000,no,50,https://drive.google.com/thumbnail?id=1tvoZRmBFOum1-GzEljY-aRGuf0GgTGrl,s363gkbg60i5g45ojkj28r2j90@google.com,#N/A,#N/A,#N/A
87,2025-03-23,21:30,Stand Up Comedy,,si,6000,no,50,https://drive.google.com/thumbnail?id=1_yG0rosFUmVsD-sL-7aKRThXLdhOYvxV,m52ki1bi9i3eslfpj09ecf0j4k@google.com,#N/A,#N/A,#N/A
88,2025-03-24,20:00,Magia Negra,,no,8000,no,50,https://drive.google.com/thumbnail?id=1TZPiduFNgjqGHryNt6eQQcyANK5KD1xK,oqrpd2u0dev092k81shlcsakog@google.com,#N/A,#N/A,#N/A
89,2025-03-23,10:00 a 16:30,Workshop Impro Teatral,,no,45000,no,20,https://drive.google.com/thumbnail?id=1V2s5QLVsTudvQvQuoQkTcQNPYDHAhGfY,f2e32ltbkcol3l5npq05qpaovo@google.com,#N/A,#N/A,#N/A
90,2025-04-04,21:30,Locura Amor & Picoteo,,si,9000,no,50,https://drive.google.com/thumbnail?id=1vz1Kf1m1Mvx1_Gd84PjsuILovl8J-r3g,q5nqjgahsqb1nrkkjgjuaer9dg@google.com,#N/A,#N/A,#N/A
91,2025-04-05,21:30,Locura Amor & Picoteo,,si,9000,no,50,https://drive.google.com/thumbnail?id=16gRMVGDHB7iem3dLdKPSAHiantrxmf4-,ucuu1as84cbdv0okpkpa1u6eu0@google.com,#N/A,#N/A,#N/A
107,2025-06-13,22:00,Stand up comedy,,si,10000,no,50,https://drive.google.com/thumbnail?id=1hVZG5Dnc-7NlyKDlok3BiQPiov9Ve_90,lh2va1lqts810s6r5553n89kds@google.com,#N/A,#N/A,#N/A
108,2025-06-14,21:30,"Locura, amor y Picoteo",,si,10000,si,50,https://drive.google.com/thumbnail?id=1PlScaNq4zc3qSg1kR1iX-96P94MKYKme,mh8vpfck3buslrsi87oo584s90@google.com,#N/A,#N/A,#N/A
109,2025-06-15,17:00,El Soplador de Estrellas,,no,7000,no,50,https://drive.google.com/thumbnail?id=1MvDS7lBE7nDdr_HtAMBrD_w0aZibN4ih,,#N/A,#N/A,#N/A
110,2025-06-15,21:30,"Locura, amor y Picoteo",,si,10000,si,50,https://drive.google.com/thumbnail?id=15goQCNwcrMY4N8jF73wvd_5fRYRK4ogK,,#N/A,#N/A,#N/A
